SKU,INVENTARIO
05-9837-Z5-CL,0
05-9854-Z5-CL,0
05-9858-34-CM,2
05-9878-34-CL,73
05-9878-Z5-CM,0
05-9884-14-CM,0
05-9884-14-G5,1
05-9884-34-G5,3
05-9884-60-G5,6
05-9884-J6-G5,5
05-9884-Z5-CL,0
05-9884-Z5-CM,0
05-9885-14-CM,1
05-9885-60-CL,2
05-9885-Z5-CL,0
05-9885-Z5-CM,0
05-9886-14-CM,1
05-9889-CA-CM,0
05-9894-Z5-CL,0
05-9911-34-CL,77
05-9912-34-CL,224
05-9919-34-37,293
05-9924-34-CM,0
05-9926-14-CL,1
05-9929-Z5-CL,2
05-9930-Z5-CM,1
05-9932-Z5-M2,0
05-9956-Z5-CL,0
05-9956-Z5-CM,83
05-9957-Z5-CM,1
05-9959-Z5-CM,1
05-9961-34-CM,473
05-9966-34-CM,0
05-9967-34-CM,0
05-9971-DC-CL,4
05-9982-34-CL,1
05-9983-34-CL,2
05-9984-34-CL,8
05-9985-34-CL,2
05-9985-34-CM,3
05-9986-34-CL,1
05-9986-34-CM,4
05-9987-34-CL,3
05-9987-34-CM,28
05-9989-Z5-CK,0
05-9992-Z5-CL,3
05-9992-Z5-CM,29
05-9993-34-G5,0
05-9993-60-G5,0
05-9993-J6-G5,6
05-A000-DL-M1,0
05-A003-14-M3,22
05-A004-14-14,4
05-A006-14-14,0
05-A009-AH-M1,23
05-A010-14-14,37
05-A010-81-81,0
05-A078-DN-DN,0
05-E000-54-37,0
05-E001-54-CM,6
05-E002-54-37,0
05-E003-54-CM,6
05-E007-CA-CL,15
05-E008-CA-CL,0
05-E012-14-CM,1
05-E024-Z5-CL,0
05-E025-Z5-CL,4
05-E025-Z5-CM,1
05-E027-34-EH,0
05-E030-05-CL,0
05-E031-CA-CL,0
05-E039-05-CL,1
05-E049-34-CL,0
05-E050-34-CL,3
05-E051-14-CL,1
05-E051-34-CL,0
05-E051-34-CM,39
05-E051-60-CL,39
05-E051-60-CM,9
05-E051-DL-CL,2
05-E051-DL-CM,2
05-E051-J6-CL,3
05-E051-Z5-CL,283
05-E051-Z5-CM,2
05-E052-14-CL,2
05-E052-14-CM,15
05-E052-Z5-CL,9
05-E052-Z5-CM,6
05-E055-DL-EH,6
05-E056-34-CL,167
05-E056-34-CM,194
05-E056-Z5-CM,0
05-E057-Z5-CL,0
05-E061-05-CM,1
05-E067-14-CM,86
05-E067-60-CM,148
05-E067-Z5-CL,0
05-E067-Z5-CM,190
05-E069-14-CM,74
05-E071-14-OU,22
05-E072-Z5-CL,13
05-E072-Z5-CM,22
05-E073-Z5-CM,2
05-E074-Z5-CL,6
05-E074-Z5-CM,11
05-E075-Z5-CM,1
05-E076-E3-OU,1
05-E078-Z5-CL,137
05-E078-Z5-CM,0
05-E079-Z5-CL,87
05-E079-Z5-CM,92
05-E080-Z5-CL,3
05-E080-Z5-CM,141
05-E081-Z5-CL,26
05-E081-Z5-CM,0
05-E084-14-CM,47
05-E084-Z5-CL,0
05-E084-Z5-CM,0
05-E086-14-CL,3
05-E086-Z5-CL,0
05-E091-DC-CL,0
05-E094-Z5-00,27
05-E099-54-CM,0
05-E106-34-CL,0
05-E106-34-CM,113
05-E107-34-CM,64
05-E113-Z5-CL,1
05-E130-Z5-CK,1
05-E131-Z5-CL,9
05-E132-Z5-CK,9
05-E132-Z5-CL,7
05-E133-Z5-CK,0
05-E137-DL-EH,1
05-E139-14-EH,2
05-E139-34-EH,0
05-E139-60-EH,0
05-E139-J6-EH,2
05-E139-Z5-EH,0
05-E140-34-EH,0
05-E140-60-EH,4
05-E140-J6-EH,2
05-E140-Z5-EH,0
05-E143-Z5-CL,11
05-E144-34-M1,1
05-E144-60-M1,5
05-E144-J6-M1,3
05-E144-Z5-M1,4
05-E145-14-M1,6
05-E152-CA-CL,109
05-E158-DL-37,25
05-E163-Z5-EH,0
05-E165-14-EH,0
05-E165-60-EH,2
05-E165-Z5-EH,0
10-0378-BW-B8,0
10-1523-05-05,18
10-1523-21-21,204
10-1530-21-14,2
10-1940-BW-T007,8
10-2757-14-82,0
10-3273-21-05,36
10-3686-21-M1,49
10-4409-21-12,136
10-4755-CI-23,0
10-5930-05-34,2
10-6420-81-81,36
10-6420-Z5-Z5,0
10-7606-05-05,0
10-7606-14-14,0
10-7607-05-05,0
10-7607-14-DO,6
10-7742-05-05,80
10-8430-05-05,0
10-8516-05-EM,2
10-8518-05-EM,11
10-8519-05-05,10
10-8519-05-DN,14
10-8519-05-EM,14
10-9386-34-M3,0
10-9387-Z5-M3,0
10-9847-Z5-CL,0
10-A026-05-M1,0
10-A078-60-60,0
10-E001-60-CK,0
10-E001-60-CL,0
10-E001-Z5-CL,1
10-E002-DL-CK,1
10-E004-60-OU,2
10-E004-Z5-OU,8
10-E005-60-OU,5
10-E008-E3-OU,1
